,Class,Handicapped_Infants,Water_Project_Cost_Sharing,Adoption_Budget_Resolution,Physician_Fee_Freeze,El_Salvador_Aid,Religious_Groups_School,Anti_Satellite_Test_Ban,Aid_Nicaraguan_Contras,MX_Missile,Immigration,Synfuels_Corporation_Cutback,Education_Spending,Superfund_Right_To_Sue,Crime,Duty_Free_Exports,Export_Administration_Act_South_Africa,Class_republican
179,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
292,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,0
11,republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,1
271,democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,0
204,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,1
93,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,0
165,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?,0
320,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,0
41,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
267,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,1
159,democrat,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?,0
95,democrat,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y,0
106,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
92,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y,0
66,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,1
365,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,1
23,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
323,democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,0
13,democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,0
362,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,0
61,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
186,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,0
174,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
258,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
102,democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,0
39,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,0
306,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
372,democrat,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n,1
432,republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,0
383,democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,0
98,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,0
197,republican,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y,1
303,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
324,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,1
347,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
314,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,1
127,democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,0
82,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
397,democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,1
311,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,0
27,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
89,republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,1
426,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
73,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,1
69,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
298,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,0
91,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,0
345,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,1
328,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,0
326,democrat,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y,1
125,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
59,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,0
120,republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,1
12,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,0
339,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,1
191,republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,1
434,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,1
275,democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n,0
157,democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?,0
291,democrat,y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y,0
223,republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,1
187,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
351,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,1
189,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
387,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?,0
375,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,1
88,democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,0
131,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,0
124,democrat,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
270,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
14,republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,0
342,democrat,n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y,0
300,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,1
123,republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,1
138,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,0
111,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
51,republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,1
112,democrat,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?,0
9,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,0
227,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,0
16,democrat,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,0
225,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
0,republican,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,1
340,republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,1
105,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,0
232,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,0
419,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y,1
370,democrat,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y,0
70,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,0
350,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,0
38,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
150,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
430,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,1
163,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,1
167,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,1
272,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?,0
304,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,1
238,democrat,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?,0
409,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
145,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y,0
230,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
299,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,0
312,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
42,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
160,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,1
349,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,1
403,republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,1
378,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
401,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,1
427,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,1
250,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
360,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,0
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
236,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
433,republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,1
363,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,1
147,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,0
245,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,0
100,democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,0
34,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
188,republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,1
110,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
175,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
53,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
135,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
405,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
154,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
19,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,1
268,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
158,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
296,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,1
44,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,0
294,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,0
113,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
274,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,1
211,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
108,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
373,democrat,n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y,0
169,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,0
79,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,1
410,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,1
418,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,0
84,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
8,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
32,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,0
99,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n,1
377,republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,1
355,republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,1
346,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
222,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,0
28,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,1
31,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,0
318,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
55,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,1
412,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
337,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
48,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,0
416,republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,1
305,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
33,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
